len, stride, MAE, RMSE, MAPE
1, 1,  8.5997, 13.2522, 0.3685
2, 1,  6.6299,  9.8642, 0.3134
2, 3,  6.6125,  9.5411, 0.3110
2, 5,  8.3731, 11.5122, 0.4331
3, 1,  5.0508,  7.2674, 0.2424
3, 3,  4.3092,  6.2865, 0.2271
3, 5, 10.2536, 14.7781, 0.4989
5, 1,  5.0340,  7.6640, 0.2224
5, 3,  6.7606, 10.3234, 0.3171
5, 5,  6.4829,  8.1241, 0.4221
